episide,made,spent,profit,buys,holds,sells,time
0,208274.20,208719.70,-445.5000,410,452,396,0.15
1,190887.50,190887.50,-0.0000,375,447,436,0.15
2,205371.60,205806.40,-434.8000,404,440,414,0.17
3,219625.90,219625.90,0.0000,435,418,405,0.18
4,200082.20,200082.20,0.0000,394,436,428,0.16
5,213638.60,214084.10,-445.5000,424,426,408,0.16
6,202125.90,202571.40,-445.5000,404,421,433,0.21
7,203839.50,203839.50,0.0000,400,442,416,0.16
8,223111.90,223111.90,-0.0000,440,422,396,0.20
9,219405.40,219850.90,-445.5000,434,420,404,0.19
10,206641.50,206641.50,-0.0000,413,434,411,0.18
11,215482.50,215482.50,0.0000,426,397,435,0.16
12,231428.00,231428.00,-0.0000,455,391,412,0.15
13,222828.40,222828.40,-0.0000,437,443,378,0.17
14,221055.20,222774.20,-1719.0000,440,407,411,0.19
15,203639.10,204912.60,-1273.5000,404,417,437,0.16
16,218416.30,218416.30,0.0000,429,441,388,0.14
17,208395.00,208829.80,-434.8000,408,428,422,0.16
18,209092.60,209092.60,0.0000,410,409,439,0.14
19,227040.60,227475.40,-434.8000,441,422,395,0.18
20,219933.10,219933.10,0.0000,430,393,435,0.16
21,205444.30,205444.30,0.0000,405,435,418,0.15
22,204741.20,206043.50,-1302.3000,405,447,406,0.14
23,219769.10,221889.50,-2120.4000,439,407,412,0.17
24,213689.00,213689.00,0.0000,422,417,419,0.20
25,220533.70,220533.70,0.0000,437,412,409,0.14
26,222444.40,223324.70,-880.3000,437,416,405,0.14
27,211782.20,211782.20,0.0000,416,424,418,0.14
28,207802.00,208247.50,-445.5000,408,403,447,0.15
29,199513.70,200394.00,-880.3000,394,424,440,0.23
30,197059.80,197059.80,0.0000,387,434,437,0.18
31,205387.80,205387.80,0.0000,401,427,430,0.17
32,211059.60,211059.60,0.0000,415,419,424,0.17
33,215843.00,217145.30,-1302.3000,428,417,413,0.22
34,216021.90,216021.90,0.0000,425,413,420,0.17
35,222680.50,222680.50,0.0000,440,401,417,0.16
36,214534.60,214980.10,-445.5000,422,417,419,0.15
37,201570.50,201570.50,0.0000,393,459,406,0.20
38,213912.20,213912.20,-0.0000,422,415,421,0.23
39,212285.30,212285.30,-0.0000,423,400,435,0.17
40,215057.10,215921.20,-864.1000,427,423,408,0.15
41,224487.60,224922.40,-434.8000,439,410,409,0.17
42,212190.70,212190.70,0.0000,415,411,432,0.18
43,211384.40,212223.10,-838.7000,417,427,414,0.17
44,209977.20,210422.70,-445.5000,414,446,398,0.20
45,215900.00,216322.00,-422.0000,428,425,405,0.17
46,193792.30,194237.80,-445.5000,382,445,431,0.18
47,190401.10,192105.30,-1704.2000,379,459,420,0.17
48,204300.50,204300.50,0.0000,403,432,423,0.18
49,211910.60,211910.60,0.0000,418,435,405,0.22
50,228685.80,228685.80,0.0000,449,414,395,0.18
51,202943.40,202943.40,0.0000,402,390,466,0.16
52,224398.70,224844.20,-445.5000,439,393,426,0.15
53,226853.80,226853.80,0.0000,445,398,415,0.14
54,196471.80,196471.80,0.0000,383,445,430,0.18
55,209199.60,210472.90,-1273.3000,416,417,425,0.17
56,200882.10,201724.10,-842.0000,398,414,446,0.16
57,225586.90,226021.70,-434.8000,441,411,406,0.16
58,220943.10,221359.80,-416.7000,437,399,422,0.15
59,212416.50,212416.50,0.0000,420,428,410,0.18
60,202431.80,204130.50,-1698.7000,401,435,422,0.17
61,214376.80,214811.60,-434.8000,424,427,407,0.15
62,216747.30,218440.80,-1693.5000,425,425,408,0.16
63,191222.60,191222.60,-0.0000,376,438,444,0.16
64,212835.80,214559.70,-1723.8999,421,417,420,0.15
65,208571.70,208571.70,0.0000,409,417,432,0.15
66,201115.00,201115.00,-0.0000,399,446,413,0.19
67,202233.80,202679.30,-445.5000,401,417,440,0.20
68,217091.40,217942.90,-851.5000,430,422,406,0.16
69,213282.20,213727.70,-445.5000,419,437,402,0.16
70,222385.80,224524.70,-2138.9000,444,413,401,0.18
71,212609.50,212609.50,0.0000,420,397,441,0.15
72,205027.10,205027.10,0.0000,401,435,422,0.15
73,207843.80,207843.80,-0.0000,412,441,405,0.19
74,238052.60,238052.60,0.0000,468,398,392,0.17
75,205501.80,207643.30,-2141.5000,410,447,401,0.18
76,205649.20,205649.20,0.0000,406,439,413,0.18
77,208004.70,208872.20,-867.5000,411,416,431,0.19
78,203539.50,203539.50,0.0000,401,445,412,0.16
79,206503.50,206503.50,0.0000,406,435,417,0.20
80,216336.20,218456.90,-2120.7000,432,415,411,0.21
81,198505.40,199370.90,-865.5000,396,401,461,0.19
82,209360.90,209806.40,-445.5000,413,417,428,0.16
83,227698.30,227698.30,0.0000,449,393,416,0.16
84,208293.70,208293.70,-0.0000,409,419,430,0.16
85,224537.20,224537.20,0.0000,444,406,408,0.14
86,214555.00,214555.00,0.0000,421,417,420,0.14
87,219631.90,220512.20,-880.3000,432,415,411,0.14
88,200884.90,201330.40,-445.5000,393,437,428,0.15
89,207349.60,207349.60,-0.0000,411,429,418,0.18
90,220149.50,221006.30,-856.8000,439,387,432,0.16
91,214558.10,214558.10,0.0000,423,421,414,0.14
92,197731.10,198587.90,-856.8000,395,417,446,0.17
93,222428.00,222873.50,-445.5000,442,408,408,0.14
94,219896.40,221588.00,-1691.6000,435,401,422,0.17
95,207779.90,208636.70,-856.8000,415,400,443,0.18
96,217850.00,217850.00,0.0000,426,433,399,0.17
97,210691.30,210691.30,-0.0000,418,426,414,0.18
98,205776.30,205776.30,0.0000,406,426,426,0.17
99,203251.80,203251.80,0.0000,402,435,421,0.14
100,209369.30,210249.60,-880.3000,412,429,417,0.18
101,206676.60,207122.10,-445.5000,412,424,422,0.14
102,236643.40,236643.40,0.0000,464,375,419,0.15
103,216959.30,217394.10,-434.8000,426,430,402,0.15
